project_id,industry_type,team_size,seniority_mix_junior,seniority_mix_mid,seniority_mix_senior,budget_planned_usd,budget_planned_inr,budget_actual_usd,budget_actual_inr,duration_planned_weeks,duration_actual_weeks,scope_change_count,client_type,employee_cost_ratio,attrition_events,weekly_burn_rate_variance,outcome_label
DELTA-0386,EdTech,16,0.547,0.114,0.339,50000.0,4175000,61462.0,5132077,8,9,2,fixed_bid,0.557,1,0.084,at_risk
DELTA-0387,Retail,21,0.555,0.092,0.353,350377.0,29256479,464622.0,38795937,8,9,2,fixed_bid,0.578,3,0.067,at_risk
DELTA-0388,Energy,5,0.42,0.188,0.392,156478.0,13065913,181758.0,15176793,12,13,0,outcome_based,0.545,1,0.032,on_track
DELTA-0389,BFSI,14,0.426,0.104,0.47,328137.0,27399439,471396.0,39361566,8,11,3,time_and_material,0.615,3,0.192,failed
DELTA-0390,BFSI,10,0.6,0.257,0.143,1064103.0,88852600,1535776.0,128237296,11,13,9,time_and_material,0.594,1,0.116,failed
DELTA-0391,Retail,5,0.6,0.104,0.296,50000.0,4175000,54397.0,4542149,13,15,0,outcome_based,0.625,0,0.048,at_risk
DELTA-0392,Retail,26,0.594,0.349,0.057,105911.0,8843568,137575.0,11487512,8,9,4,time_and_material,0.594,2,0.112,at_risk
DELTA-0393,EdTech,12,0.557,0.365,0.078,164647.0,13748024,199925.0,16693737,8,8,1,fixed_bid,0.608,1,0.052,at_risk
DELTA-0394,EdTech,17,0.266,0.678,0.056,736263.0,61477960,1167639.0,97497856,14,19,4,fixed_bid,0.58,5,0.141,failed
DELTA-0395,Retail,16,0.174,0.646,0.18,50000.0,4175000,60368.0,5040728,8,9,3,fixed_bid,0.573,1,0.067,at_risk
DELTA-0396,Telecom,12,0.258,0.47,0.272,1135149.0,94784941,1593468.0,133054578,19,24,0,time_and_material,0.56,3,0.176,failed
DELTA-0397,EdTech,48,0.413,0.359,0.228,224643.0,18757690,273435.0,22831822,8,8,0,fixed_bid,0.645,2,0.085,at_risk
DELTA-0398,Government,14,0.547,0.129,0.324,182334.0,15224889,226101.0,18879433,15,16,1,time_and_material,0.601,1,0.034,at_risk
DELTA-0399,EdTech,5,0.31,0.343,0.347,166332.0,13888722,238790.0,19938965,8,10,6,time_and_material,0.592,1,0.193,failed
DELTA-0400,BFSI,11,0.59,0.098,0.312,134237.0,11208789,166789.0,13926881,11,12,2,fixed_bid,0.5,2,0.094,at_risk
DELTA-0401,EdTech,20,0.355,0.448,0.197,510581.0,42633513,804310.0,67159885,14,20,4,fixed_bid,0.6,5,0.175,failed
DELTA-0402,Telecom,20,0.6,0.32,0.08,75988.0,6344998,94133.0,7860105,8,8,0,time_and_material,0.559,2,0.063,at_risk
DELTA-0403,Retail,7,0.206,0.673,0.121,271270.0,22651045,312556.0,26098426,8,9,3,time_and_material,0.523,0,0.126,on_track
DELTA-0404,BFSI,25,0.377,0.437,0.186,140679.0,11746696,195523.0,16326170,10,11,5,time_and_material,0.525,2,0.185,at_risk
DELTA-0405,EdTech,5,0.106,0.394,0.5,100115.0,8359602,118732.0,9914122,8,8,2,outcome_based,0.556,1,0.021,at_risk
DELTA-0406,Telecom,29,0.186,0.619,0.195,2037792.0,170155632,3075290.0,256786715,24,31,7,time_and_material,0.613,4,0.251,failed
DELTA-0407,Government,6,0.6,0.297,0.103,289857.0,24203059,327407.0,27338484,8,8,3,outcome_based,0.611,0,0.066,on_track
DELTA-0408,EdTech,12,0.435,0.115,0.45,345220.0,28825870,392204.0,32749034,8,8,1,time_and_material,0.535,1,0.153,on_track
DELTA-0409,Telecom,28,0.183,0.74,0.077,553490.0,46216415,705760.0,58930960,21,25,1,time_and_material,0.548,3,0.025,on_track
DELTA-0410,Government,15,0.425,0.498,0.077,55314.0,4618719,59822.0,4995137,8,8,2,time_and_material,0.597,0,0.085,on_track
DELTA-0411,Retail,24,0.228,0.447,0.325,962281.0,80350463,1487541.0,124209673,18,24,7,outcome_based,0.599,3,0.092,failed
DELTA-0412,EdTech,21,0.556,0.093,0.351,50000.0,4175000,59011.0,4927418,8,9,4,time_and_material,0.578,0,0.097,on_track
DELTA-0413,Government,32,0.525,0.087,0.388,99519.0,8309836,116172.0,9700362,8,8,1,outcome_based,0.525,1,0.121,on_track
DELTA-0414,BFSI,28,0.6,0.256,0.144,131514.0,10981419,183935.0,15358572,8,10,3,fixed_bid,0.556,4,0.159,failed
DELTA-0415,Retail,11,0.575,0.306,0.119,335558.0,28019093,406162.0,33914527,8,9,2,outcome_based,0.666,0,0.091,at_risk
DELTA-0416,BFSI,21,0.471,0.088,0.441,242037.0,20210089,319543.0,26681840,12,14,1,time_and_material,0.552,4,0.08,at_risk
DELTA-0417,Manufacturing,5,0.33,0.313,0.357,171076.0,14284846,195298.0,16307383,15,15,2,time_and_material,0.588,0,0.092,on_track
DELTA-0418,Healthcare,14,0.1,0.703,0.197,196654.0,16420609,259914.0,21702819,11,12,1,fixed_bid,0.661,2,0.032,failed
DELTA-0419,EdTech,24,0.458,0.093,0.449,82436.0,6883406,87180.0,7279530,8,8,1,time_and_material,0.582,1,0.075,on_track
DELTA-0420,Government,16,0.521,0.087,0.392,51662.0,4313777,58797.0,4909549,8,9,2,fixed_bid,0.655,0,0.113,at_risk
DELTA-0421,Healthcare,19,0.532,0.31,0.158,382261.0,31918793,525133.0,43848605,12,15,3,fixed_bid,0.552,3,0.057,failed
DELTA-0422,Healthcare,13,0.6,0.108,0.292,371140.0,30990190,444605.0,37124517,21,23,0,fixed_bid,0.503,2,0.069,on_track
DELTA-0423,Government,29,0.348,0.518,0.134,827401.0,69087983,978246.0,81683541,11,12,2,time_and_material,0.564,1,0.015,on_track
DELTA-0424,Retail,14,0.47,0.386,0.144,97634.0,8152439,121653.0,10158025,8,9,0,outcome_based,0.561,3,0.059,at_risk
DELTA-0425,EdTech,11,0.223,0.596,0.181,370842.0,30965307,437315.0,36515802,8,8,5,outcome_based,0.513,1,0.11,at_risk
DELTA-0426,Manufacturing,25,0.427,0.244,0.329,153993.0,12858415,183255.0,15301792,8,9,1,time_and_material,0.575,3,0.082,on_track
DELTA-0427,BFSI,6,0.55,0.092,0.358,580373.0,48461145,693806.0,57932801,8,9,1,outcome_based,0.617,0,0.122,at_risk
DELTA-0428,Telecom,20,0.435,0.472,0.093,498703.0,41641700,589116.0,49191186,13,15,1,time_and_material,0.549,1,0.03,on_track
DELTA-0429,BFSI,7,0.371,0.257,0.372,240406.0,20073901,300259.0,25071626,8,8,4,fixed_bid,0.576,0,0.124,on_track
DELTA-0430,Telecom,32,0.352,0.548,0.1,146447.0,12228324,198960.0,16613160,8,10,2,time_and_material,0.633,2,0.197,at_risk
DELTA-0431,BFSI,12,0.52,0.093,0.387,472049.0,39416091,610543.0,50980340,14,16,3,time_and_material,0.564,1,0.036,at_risk
DELTA-0432,Government,16,0.296,0.204,0.5,355832.0,29711972,419920.0,35063320,8,8,1,time_and_material,0.595,1,0.037,on_track
DELTA-0433,Manufacturing,19,0.6,0.108,0.292,107366.0,8965061,126681.0,10577863,8,8,1,outcome_based,0.507,0,0.015,on_track
DELTA-0434,EdTech,5,0.6,0.135,0.265,60173.0,5024445,66134.0,5522189,15,17,1,time_and_material,0.561,0,0.09,on_track
DELTA-0435,Telecom,10,0.245,0.399,0.356,153325.0,12802637,168984.0,14110164,8,8,2,fixed_bid,0.564,0,0.033,on_track
DELTA-0436,EdTech,27,0.312,0.595,0.093,777526.0,64923421,1133834.0,94675139,8,10,8,time_and_material,0.647,3,0.157,failed
DELTA-0437,EdTech,25,0.251,0.334,0.415,557846.0,46580141,713087.0,59542764,12,13,1,fixed_bid,0.564,2,0.161,at_risk
DELTA-0438,EdTech,17,0.5,0.083,0.417,73050.0,6099675,122056.0,10191676,13,16,11,fixed_bid,0.554,2,0.182,failed
DELTA-0439,Energy,6,0.171,0.414,0.415,69495.0,5802832,85994.0,7180499,8,8,1,time_and_material,0.589,1,0.084,at_risk
DELTA-0440,Retail,21,0.444,0.176,0.38,626068.0,52276678,772710.0,64521285,14,15,3,time_and_material,0.598,2,0.102,at_risk
DELTA-0441,BFSI,22,0.195,0.313,0.492,71533.0,5973005,112832.0,9421472,11,14,5,fixed_bid,0.549,5,0.171,failed
DELTA-0442,EdTech,15,0.479,0.178,0.343,314382.0,26250897,330564.0,27602094,8,9,0,time_and_material,0.564,1,0.023,on_track
DELTA-0443,BFSI,30,0.6,0.32,0.08,114180.0,9534030,134861.0,11260893,12,14,1,time_and_material,0.623,1,0.072,at_risk
DELTA-0444,EdTech,9,0.465,0.234,0.301,851998.0,71141833,1066568.0,89058428,18,22,4,time_and_material,0.563,1,0.071,on_track
DELTA-0445,Telecom,10,0.1,0.555,0.345,99371.0,8297478,113960.0,9515660,8,8,1,outcome_based,0.595,0,0.092,on_track
DELTA-0446,Retail,5,0.485,0.244,0.271,556279.0,46449296,855340.0,71420890,17,23,0,time_and_material,0.586,2,0.062,failed
DELTA-0447,Retail,25,0.1,0.637,0.263,234772.0,19603462,304462.0,25422577,14,16,1,outcome_based,0.627,2,0.065,at_risk
DELTA-0448,Government,17,0.425,0.251,0.324,249440.0,20828240,313494.0,26176749,9,10,2,outcome_based,0.595,1,0.079,at_risk
DELTA-0449,Energy,5,0.461,0.37,0.169,50000.0,4175000,59558.0,4973093,8,9,0,time_and_material,0.611,1,0.104,at_risk
DELTA-0450,Government,5,0.235,0.635,0.13,50000.0,4175000,58960.0,4923160,8,8,5,time_and_material,0.553,0,0.052,on_track
DELTA-0451,Government,8,0.371,0.278,0.351,162997.0,13610249,193021.0,16117253,8,9,3,time_and_material,0.618,0,0.031,at_risk
DELTA-0452,Government,23,0.485,0.217,0.298,248255.0,20729292,344404.0,28757734,12,14,4,fixed_bid,0.604,2,0.194,failed
DELTA-0453,Government,12,0.5,0.083,0.417,72209.0,6029451,95040.0,7935840,8,10,1,fixed_bid,0.628,2,0.093,failed
DELTA-0454,Government,9,0.6,0.182,0.218,74620.0,6230770,98491.0,8223998,8,9,3,fixed_bid,0.562,1,0.058,at_risk
DELTA-0455,Manufacturing,8,0.46,0.268,0.272,329497.0,27512999,405395.0,33850482,16,18,1,outcome_based,0.582,1,0.056,at_risk
DELTA-0456,Retail,7,0.376,0.402,0.222,329907.0,27547234,342170.0,28571195,10,10,2,outcome_based,0.499,0,0.082,on_track
DELTA-0457,Government,5,0.186,0.314,0.5,175612.0,14663602,233029.0,19457921,8,9,5,outcome_based,0.649,0,0.102,failed
DELTA-0458,EdTech,7,0.259,0.299,0.442,401186.0,33499031,469183.0,39176780,14,15,2,time_and_material,0.546,1,0.164,at_risk
DELTA-0459,Retail,7,0.383,0.293,0.324,69093.0,5769265,79336.0,6624556,15,16,2,time_and_material,0.558,1,0.076,on_track
DELTA-0460,Retail,22,0.513,0.085,0.402,144301.0,12049133,181964.0,15193994,8,9,6,time_and_material,0.531,1,0.052,on_track
DELTA-0461,Healthcare,13,0.429,0.259,0.312,875972.0,73143662,1082741.0,90408873,16,17,4,time_and_material,0.599,0,0.155,at_risk
DELTA-0462,Manufacturing,9,0.314,0.52,0.166,211396.0,17651566,274664.0,22934444,8,9,2,fixed_bid,0.594,2,0.059,failed
DELTA-0463,Government,59,0.321,0.315,0.364,222722.0,18597287,329540.0,27516590,11,14,3,fixed_bid,0.574,8,0.161,failed
DELTA-0464,BFSI,9,0.338,0.45,0.212,1583822.0,132249137,2025509.0,169130001,19,23,5,time_and_material,0.478,1,0.101,at_risk
DELTA-0465,Telecom,29,0.249,0.38,0.371,56420.0,4711070,66013.0,5512085,11,12,2,outcome_based,0.547,1,0.088,on_track
DELTA-0466,Energy,39,0.252,0.42,0.328,407089.0,33991931,502759.0,41980376,8,9,5,time_and_material,0.589,1,0.097,at_risk
DELTA-0467,EdTech,5,0.241,0.322,0.437,888764.0,74211794,1017587.0,84968514,8,8,1,fixed_bid,0.584,0,0.046,at_risk
DELTA-0468,BFSI,15,0.44,0.218,0.342,148394.0,12390899,194399.0,16232316,8,9,1,fixed_bid,0.58,2,0.035,failed
DELTA-0469,Manufacturing,10,0.182,0.554,0.264,430915.0,35981402,455519.0,38035836,12,13,1,time_and_material,0.554,0,0.069,on_track
DELTA-0470,Telecom,10,0.13,0.644,0.226,82140.0,6858690,104245.0,8704457,13,14,1,time_and_material,0.529,2,0.043,at_risk
DELTA-0471,Manufacturing,20,0.476,0.325,0.199,107145.0,8946607,162121.0,13537103,8,10,2,time_and_material,0.633,5,0.28,failed
DELTA-0472,EdTech,10,0.406,0.426,0.168,281101.0,23471933,331695.0,27696532,14,13,3,outcome_based,0.514,0,0.051,on_track
DELTA-0473,Retail,11,0.6,0.198,0.202,407872.0,34057312,525893.0,43912065,8,9,4,outcome_based,0.609,0,0.183,failed
DELTA-0474,Telecom,13,0.6,0.248,0.152,545164.0,45521194,706182.0,58966197,13,15,3,time_and_material,0.532,2,0.157,at_risk
DELTA-0475,Retail,11,0.294,0.213,0.493,816404.0,68169734,1165374.0,97308729,10,12,1,outcome_based,0.611,3,0.19,failed
DELTA-0476,EdTech,7,0.473,0.095,0.432,187081.0,15621263,277280.0,23152880,9,12,6,outcome_based,0.593,2,0.202,failed
DELTA-0477,BFSI,23,0.16,0.535,0.305,582014.0,48598169,599511.0,50059168,16,17,1,time_and_material,0.561,0,0.102,on_track
DELTA-0478,EdTech,27,0.216,0.487,0.297,146082.0,12197847,182248.0,15217708,8,9,1,time_and_material,0.608,1,0.09,at_risk
DELTA-0479,BFSI,18,0.425,0.338,0.237,447701.0,37383033,604486.0,50474581,8,10,7,time_and_material,0.514,3,0.248,failed
DELTA-0480,Telecom,11,0.559,0.1,0.341,239603.0,20006850,281448.0,23500908,10,11,2,fixed_bid,0.585,1,0.098,on_track
DELTA-0481,Telecom,9,0.208,0.518,0.274,296887.0,24790064,350802.0,29291967,21,22,5,outcome_based,0.54,0,0.086,on_track
DELTA-0482,Government,9,0.6,0.244,0.156,291022.0,24300337,339177.0,28321279,8,8,2,time_and_material,0.615,0,0.06,on_track
DELTA-0483,Manufacturing,61,0.517,0.086,0.397,50000.0,4175000,75183.0,6277780,18,23,3,fixed_bid,0.598,7,0.094,failed
DELTA-0484,Government,26,0.383,0.26,0.357,72279.0,6035296,97005.0,8099917,18,21,2,time_and_material,0.624,1,0.141,failed
DELTA-0485,Manufacturing,8,0.199,0.432,0.369,218008.0,18203668,282466.0,23585911,8,10,2,fixed_bid,0.549,2,0.05,failed
DELTA-0486,Government,16,0.144,0.356,0.5,50000.0,4175000,61221.0,5111953,8,8,4,time_and_material,0.603,0,0.229,at_risk
DELTA-0487,Retail,11,0.6,0.171,0.229,420033.0,35072755,499505.0,41708667,8,8,3,time_and_material,0.532,1,0.126,on_track
DELTA-0488,Telecom,21,0.145,0.686,0.169,435565.0,36369677,604953.0,50513575,10,11,4,fixed_bid,0.538,2,0.175,at_risk
DELTA-0489,BFSI,20,0.132,0.434,0.434,266853.0,22282225,318598.0,26602933,8,9,1,outcome_based,0.571,1,0.099,on_track
DELTA-0490,Manufacturing,28,0.355,0.145,0.5,72473.0,6051495,89625.0,7483687,8,9,3,time_and_material,0.536,3,0.056,on_track
DELTA-0491,EdTech,8,0.346,0.154,0.5,688399.0,57481316,918926.0,76730321,19,22,5,time_and_material,0.609,1,0.129,at_risk
DELTA-0492,Manufacturing,15,0.331,0.169,0.5,1243560.0,103837260,1820222.0,151988537,13,16,5,outcome_based,0.561,3,0.122,failed
DELTA-0493,BFSI,5,0.326,0.3,0.374,226923.0,18948070,241427.0,20159154,8,8,1,time_and_material,0.535,0,0.1,on_track
DELTA-0494,Government,6,0.5,0.083,0.417,314733.0,26280205,326351.0,27250308,8,8,1,outcome_based,0.523,0,0.028,on_track
DELTA-0495,Manufacturing,25,0.6,0.35,0.05,238366.0,19903561,307174.0,25649029,11,13,3,outcome_based,0.604,2,0.066,failed
DELTA-0496,Energy,8,0.479,0.087,0.434,320402.0,26753567,371376.0,31009896,11,11,3,fixed_bid,0.473,0,0.02,on_track
DELTA-0497,Retail,8,0.6,0.198,0.202,178509.0,14905501,242950.0,20286325,9,10,8,time_and_material,0.536,1,0.159,at_risk
DELTA-0498,Telecom,14,0.533,0.346,0.121,192700.0,16090450,238639.0,19926356,8,8,2,fixed_bid,0.652,0,0.118,at_risk
DELTA-0499,BFSI,22,0.267,0.466,0.267,449165.0,37505277,526296.0,43945716,9,10,1,outcome_based,0.563,1,0.156,at_risk
DELTA-0500,Telecom,7,0.244,0.523,0.233,1641402.0,137057067,2511818.0,209736803,21,27,9,time_and_material,0.599,1,0.186,failed
DELTA-0501,Energy,5,0.524,0.192,0.284,56383.0,4707980,72107.0,6020934,8,8,3,fixed_bid,0.593,0,0.061,at_risk
DELTA-0502,Manufacturing,8,0.205,0.638,0.157,181057.0,15118259,256197.0,21392449,10,11,4,outcome_based,0.58,1,0.125,failed
DELTA-0503,Manufacturing,30,0.451,0.215,0.334,68705.0,5736867,89393.0,7464315,9,11,3,fixed_bid,0.519,3,0.088,at_risk
DELTA-0504,EdTech,18,0.507,0.387,0.106,833027.0,69557754,1003415.0,83785152,19,21,2,time_and_material,0.524,2,0.057,at_risk
DELTA-0505,Energy,32,0.194,0.627,0.179,117129.0,9780271,160142.0,13371857,11,14,4,time_and_material,0.519,4,0.102,at_risk
DELTA-0506,BFSI,7,0.316,0.496,0.188,54237.0,4528789,60336.0,5038056,8,8,1,time_and_material,0.596,0,0.114,on_track
DELTA-0507,EdTech,5,0.431,0.365,0.204,353051.0,29479758,488608.0,40798768,17,19,5,time_and_material,0.605,1,0.11,failed
DELTA-0508,Retail,19,0.226,0.41,0.364,955394.0,79775399,1200875.0,100273062,16,19,7,time_and_material,0.624,0,0.13,at_risk
DELTA-0509,EdTech,17,0.232,0.596,0.172,361218.0,30161703,470504.0,39287084,16,19,4,time_and_material,0.577,2,0.102,at_risk
DELTA-0510,Healthcare,17,0.288,0.578,0.134,239023.0,19958420,287396.0,23997566,12,13,5,outcome_based,0.582,0,0.043,at_risk
DELTA-0511,BFSI,26,0.6,0.253,0.147,287284.0,23988214,377628.0,31531938,8,9,2,outcome_based,0.58,3,0.106,at_risk
DELTA-0512,Healthcare,19,0.283,0.619,0.098,710238.0,59304873,868633.0,72530855,19,22,2,time_and_material,0.544,2,0.157,on_track
DELTA-0513,Energy,18,0.6,0.264,0.136,90510.0,7557585,117410.0,9803735,8,9,4,time_and_material,0.652,1,0.146,failed
DELTA-0514,Government,22,0.465,0.264,0.271,179752.0,15009292,248485.0,20748497,8,9,2,outcome_based,0.604,2,0.111,at_risk
DELTA-0515,Healthcare,20,0.595,0.321,0.084,132267.0,11044294,176102.0,14704517,9,10,2,outcome_based,0.625,1,0.129,failed
DELTA-0516,Retail,24,0.358,0.267,0.375,69488.0,5802248,88008.0,7348668,8,10,2,outcome_based,0.555,4,0.147,at_risk
DELTA-0517,EdTech,27,0.6,0.197,0.203,147925.0,12351737,167252.0,13965542,9,9,2,outcome_based,0.537,0,0.021,on_track
DELTA-0518,Government,37,0.269,0.534,0.197,538718.0,44982953,771934.0,64456489,8,9,2,fixed_bid,0.597,4,0.119,at_risk
DELTA-0519,EdTech,10,0.488,0.086,0.426,331022.0,27640337,435511.0,36365168,16,19,3,outcome_based,0.552,1,0.118,at_risk
DELTA-0520,Healthcare,19,0.389,0.469,0.142,355002.0,29642667,409194.0,34167699,9,10,3,outcome_based,0.578,1,0.193,at_risk
DELTA-0521,EdTech,11,0.355,0.506,0.139,226800.0,18937800,250415.0,20909652,8,8,1,time_and_material,0.498,0,0.19,on_track
DELTA-0522,Energy,9,0.423,0.257,0.32,318376.0,26584396,444879.0,37147396,8,10,3,outcome_based,0.562,2,0.079,failed
DELTA-0523,Government,9,0.6,0.17,0.23,96709.0,8075201,116316.0,9712386,9,10,4,time_and_material,0.572,0,0.106,at_risk
DELTA-0524,Energy,20,0.239,0.491,0.27,150458.0,12563243,191580.0,15996930,9,10,2,time_and_material,0.609,2,0.056,at_risk
DELTA-0525,Healthcare,19,0.265,0.405,0.33,236287.0,19729964,325690.0,27195115,11,13,1,time_and_material,0.543,4,0.106,at_risk
DELTA-0526,Energy,18,0.387,0.471,0.142,255190.0,21308365,325787.0,27203214,8,9,3,time_and_material,0.516,3,0.079,at_risk
DELTA-0527,Retail,12,0.525,0.386,0.089,265181.0,22142613,333530.0,27849755,8,9,3,fixed_bid,0.613,1,0.058,failed
DELTA-0528,Healthcare,14,0.504,0.129,0.367,175518.0,14655753,252751.0,21104708,12,15,1,time_and_material,0.574,4,0.086,failed
DELTA-0529,Healthcare,24,0.324,0.625,0.051,141537.0,11818339,169240.0,14131540,16,17,3,time_and_material,0.513,2,0.097,on_track
DELTA-0530,Healthcare,6,0.594,0.099,0.307,3409220.0,284669870,4500447.0,375787324,26,32,6,outcome_based,0.506,0,0.197,failed
DELTA-0531,BFSI,15,0.6,0.106,0.294,449597.0,37541349,567717.0,47404369,18,21,2,fixed_bid,0.558,1,0.13,at_risk
DELTA-0532,EdTech,15,0.317,0.582,0.101,288321.0,24074803,325861.0,27209393,11,11,0,fixed_bid,0.579,1,0.092,on_track
DELTA-0533,BFSI,23,0.43,0.095,0.475,161153.0,13456275,222133.0,18548105,8,9,6,fixed_bid,0.649,1,0.108,failed
DELTA-0534,BFSI,6,0.36,0.35,0.29,132442.0,11058907,157381.0,13141313,8,9,1,fixed_bid,0.527,1,0.035,on_track
DELTA-0535,Retail,36,0.557,0.318,0.125,176712.0,14755452,240168.0,20054028,8,10,2,time_and_material,0.597,4,0.209,failed
DELTA-0536,Government,16,0.212,0.561,0.227,258731.0,21604038,300866.0,25122311,14,15,2,outcome_based,0.503,0,0.082,on_track
DELTA-0537,EdTech,17,0.369,0.241,0.39,50000.0,4175000,69783.0,5826880,8,9,4,time_and_material,0.585,2,0.114,at_risk
DELTA-0538,Energy,11,0.507,0.391,0.102,50000.0,4175000,60668.0,5065778,8,9,2,time_and_material,0.636,0,0.088,at_risk
DELTA-0539,Manufacturing,20,0.485,0.359,0.156,112061.0,9357093,162244.0,13547374,13,17,2,time_and_material,0.604,5,0.152,failed
DELTA-0540,Healthcare,15,0.319,0.313,0.368,239527.0,20000504,327780.0,27369630,8,9,3,time_and_material,0.549,2,0.135,failed
DELTA-0541,Energy,30,0.27,0.256,0.474,160276.0,13383046,244799.0,20440716,8,10,2,time_and_material,0.662,5,0.079,failed
DELTA-0542,Healthcare,6,0.467,0.354,0.179,751862.0,62780477,1126174.0,94035529,12,15,6,outcome_based,0.585,1,0.059,failed
DELTA-0543,Retail,16,0.451,0.091,0.458,52357.0,4371809,55735.0,4653872,9,9,0,time_and_material,0.589,0,0.042,on_track
DELTA-0544,Healthcare,19,0.295,0.61,0.095,101092.0,8441182,134564.0,11236094,10,11,7,time_and_material,0.538,2,0.151,at_risk
DELTA-0545,BFSI,13,0.3,0.497,0.203,780806.0,65197301,939405.0,78440317,11,11,2,fixed_bid,0.591,0,0.086,at_risk
DELTA-0546,EdTech,11,0.49,0.114,0.396,223687.0,18677864,251421.0,20993653,21,23,4,time_and_material,0.578,0,0.092,on_track
DELTA-0547,Manufacturing,11,0.582,0.097,0.321,440805.0,36807217,531289.0,44362631,9,9,2,time_and_material,0.584,1,0.102,at_risk
DELTA-0548,Telecom,16,0.481,0.087,0.432,1259370.0,105157395,1545350.0,129036725,15,17,6,time_and_material,0.595,0,0.089,on_track
DELTA-0549,Healthcare,5,0.327,0.38,0.293,106465.0,8889827,126038.0,10524173,8,9,0,outcome_based,0.625,1,0.036,at_risk
DELTA-0550,Energy,26,0.32,0.353,0.327,181791.0,15179548,237858.0,19861143,9,10,5,time_and_material,0.55,3,0.096,at_risk
DELTA-0551,BFSI,11,0.301,0.199,0.5,155564.0,12989594,170862.0,14266977,11,11,2,fixed_bid,0.587,0,0.129,at_risk
DELTA-0552,Telecom,16,0.302,0.613,0.085,50000.0,4175000,64680.0,5400780,14,16,3,outcome_based,0.608,1,0.165,at_risk
DELTA-0553,Manufacturing,18,0.273,0.61,0.117,150338.0,12553223,162123.0,13537270,8,8,0,fixed_bid,0.577,1,0.124,on_track
DELTA-0554,Telecom,10,0.519,0.336,0.145,439307.0,36682134,591359.0,49378476,9,10,2,outcome_based,0.574,2,0.166,failed
DELTA-0555,BFSI,13,0.43,0.152,0.418,323362.0,27000727,411900.0,34393650,12,15,2,time_and_material,0.573,2,0.162,at_risk
DELTA-0556,EdTech,5,0.6,0.137,0.263,347032.0,28977172,372590.0,31111265,13,15,2,fixed_bid,0.574,0,0.022,on_track
DELTA-0557,EdTech,23,0.267,0.33,0.403,141781.0,11838713,194894.0,16273649,8,9,5,outcome_based,0.598,1,0.036,at_risk
DELTA-0558,Government,28,0.422,0.162,0.416,110140.0,9196690,147489.0,12315331,11,14,4,fixed_bid,0.654,2,0.108,at_risk
DELTA-0559,EdTech,5,0.379,0.395,0.226,623017.0,52021919,768754.0,64190959,8,9,2,fixed_bid,0.505,1,0.034,at_risk
DELTA-0560,Government,11,0.143,0.668,0.189,127059.0,10609426,138481.0,11563163,16,16,4,outcome_based,0.525,0,0.082,on_track
DELTA-0561,Telecom,7,0.568,0.204,0.228,259023.0,21628420,315373.0,26333645,14,16,6,fixed_bid,0.566,0,0.088,at_risk
DELTA-0562,Retail,13,0.529,0.088,0.383,230268.0,19227378,302676.0,25273446,8,9,5,time_and_material,0.572,2,0.158,at_risk
DELTA-0563,Energy,21,0.431,0.271,0.298,740843.0,61860390,977757.0,81642709,8,10,2,fixed_bid,0.564,3,0.12,at_risk
DELTA-0564,Energy,26,0.6,0.339,0.061,476522.0,39789587,649822.0,54260137,8,10,2,fixed_bid,0.556,4,0.109,failed
DELTA-0565,Telecom,29,0.143,0.679,0.178,61961.0,5173743,85060.0,7102510,11,13,2,outcome_based,0.527,3,0.189,at_risk
DELTA-0566,Healthcare,32,0.419,0.097,0.484,68268.0,5700378,80981.0,6761913,8,9,2,time_and_material,0.553,2,0.091,on_track
DELTA-0567,Healthcare,13,0.243,0.486,0.271,334709.0,27948201,436827.0,36475054,8,9,4,fixed_bid,0.606,1,0.08,at_risk
DELTA-0568,EdTech,7,0.5,0.083,0.417,187605.0,15665017,226941.0,18949573,11,12,2,time_and_material,0.585,0,0.13,on_track
DELTA-0569,Energy,13,0.224,0.58,0.196,131972.0,11019662,167982.0,14026497,8,9,3,time_and_material,0.609,1,0.093,at_risk
DELTA-0570,Energy,21,0.295,0.576,0.129,495868.0,41404978,545114.0,45517019,12,12,3,time_and_material,0.526,0,0.097,on_track
DELTA-0571,Government,7,0.401,0.164,0.435,235322.0,19649387,301958.0,25213493,8,9,4,fixed_bid,0.649,0,0.089,failed
DELTA-0572,Retail,40,0.101,0.704,0.195,208399.0,17401316,277634.0,23182439,12,15,1,time_and_material,0.558,7,0.161,at_risk
DELTA-0573,BFSI,25,0.401,0.41,0.189,401051.0,33487758,470466.0,39283911,8,8,1,time_and_material,0.601,1,0.108,on_track
DELTA-0574,Healthcare,13,0.361,0.264,0.375,141832.0,11842972,188791.0,15764048,8,9,1,fixed_bid,0.568,3,0.04,failed
DELTA-0575,Energy,9,0.518,0.088,0.394,815590.0,68101765,926401.0,77354483,14,15,2,time_and_material,0.548,0,0.053,on_track
DELTA-0576,Government,9,0.528,0.091,0.381,97807.0,8166884,114760.0,9582460,8,8,0,time_and_material,0.607,0,0.086,on_track
DELTA-0577,Manufacturing,15,0.338,0.195,0.467,359056.0,29981176,455404.0,38026234,10,11,3,time_and_material,0.611,2,0.073,at_risk
DELTA-0578,Government,12,0.297,0.448,0.255,722483.0,60327330,873405.0,72929317,9,9,1,time_and_material,0.679,1,0.034,at_risk
DELTA-0579,Healthcare,26,0.118,0.561,0.321,57551.0,4805508,65016.0,5428836,8,9,0,time_and_material,0.6,2,0.089,on_track
